Date : 2020-11-26 20:29:07
Directory : /home/zl/gem5/src
Total : 5618 files,  884122 codes, 252225 comments, 152980 blanks, all 1289327 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |      4,275 |    573,303 |    229,927 |    129,852 |    933,082 |
| Log      |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python   |        539 |     32,373 |     22,271 |      8,383 |     63,027 |
| Markdown |          1 |         43 |          0 |         13 |         56 |
| C        |          1 |         21 |         27 |          7 |         55 |
| HTML     |          1 |          4 |          0 |          2 |          6 |
| Jupyter  |          1 |          0 |          0 |          1 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| systemc/tests/systemc/kernel/sc_main_main                                                                                              |          2 |         32 |          5 |          9 |         46 |
| systemc/tests/systemc/kernel/sc_main_main/golden                                                                                       |          1 |          2 |          0 |          1 |          3 |
| systemc/tests/systemc/kernel/sc_module                                                                                                 |         20 |        812 |        351 |        199 |      1,362 |
| systemc/tests/systemc/kernel/sc_module/test01                                                                                          |          2 |        115 |         35 |         32 |        182 |
| systemc/tests/systemc/kernel/sc_module/test01/golden                                                                                   |          1 |          1 |          0 |          1 |          2 |
| systemc/tests/systemc/kernel/sc_module/test02                                                                                          |          2 |        121 |         35 |         36 |        192 |
| systemc/tests/systemc/kernel/sc_module/test02/golden                                                                                   |          1 |          7 |          0 |          5 |         12 |
| systemc/tests/systemc/kernel/sc_module/test03                                                                                          |          2 |        115 |         35 |         32 |        182 |
| systemc/tests/systemc/kernel/sc_module/test03/golden                                                                                   |          1 |          1 |          0 |          1 |          2 |
| systemc/tests/systemc/kernel/sc_module/test04                                                                                          |          2 |         77 |         35 |         13 |        125 |
| systemc/tests/systemc/kernel/sc_module/test04/golden                                                                                   |          1 |         18 |          0 |          1 |         19 |
| systemc/tests/systemc/kernel/sc_module/test05                                                                                          |          2 |        120 |         35 |         24 |        179 |
| systemc/tests/systemc/kernel/sc_module/test05/golden                                                                                   |          1 |         34 |          0 |          1 |         35 |
